URLs Downloaded, Size, # of outlinks found, Content-type
https://www.wsj.com/articles/a-solution-to-unreadable-online-user-agreements-1537322760,1053137,289,text/html
https://www.wsj.com/articles/musician-roger-mcguinn-discovers-the-guitar-while-biking-down-lonely-street-1537885926?mod=hp_major_pos23,1033201,259,text/html
https://www.wsj.com/news/collection/college-rankings-2019-714fd054?mod=article_inline,569461,39,text/html
https://www.wsj.com/news/heard-on-the-street,660977,278,text/html
https://www.wsj.com/articles/u-s-consumer-confidence-rose-in-september-1537885594?mod=hp_lead_pos3,1030185,259,text/html
https://www.wsj.com/news/author/7398,414736,247,text/html
https://www.wsj.com/articles/words-to-probe-our-deepest-thoughts-1530894071,1030005,257,text/html
https://www.wsj.com/news/politics,442128,291,text/html
https://www.wsj.com/articles/pressed-by-trump-opec-fears-oil-gluts-return-1537899988,1034575,263,text/html
https://www.wsj.com/news/types/opera-review,641534,266,text/html
https://www.wsj.com/articles/big-techs-business-model-is-broken-report-says-1537826407?mod=hp_major_pos16,1034658,261,text/html
https://www.wsj.com/articles/no-sex-please-were-apple-iphone-giant-seeks-tv-success-on-its-own-terms-1537588880,1036922,261,text/html
https://www.wsj.com/news/markets/real-estate-commercial,639152,248,text/html
https://www.wsj.com/articles/a-scene-beyond-time-1535143872,1028527,257,text/html
https://www.wsj.com/articles/wealth-management-firms-battle-over-millennials-1537754880?mod=hp_jr_pos2,1055821,289,text/html
https://www.wsj.com/news/types/journal-reports-health-care,641140,267,text/html
https://www.wsj.com/articles/outlaws-armadillos-countrys-roaring-70s-review-1528322703,1031120,257,text/html
https://www.wsj.com/newsletters,429846,277,text/html
https://www.wsj.com/video/browse/news/politics-and-campaign,48878,108,text/html
https://www.wsj.com/articles/costume-custom-middle-eastern-threads-at-olana-review-a-painters-souvenir-closet-1530562403,1032421,257,text/html
https://www.wsj.com/news/author/8680,414805,246,text/html
https://www.wsj.com/articles/marriott-heads-hospitality-and-leisure-companies-in-management-top-250-1537462140?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1054692,289,text/html
https://www.wsj.com/articles/rooted-in-americas-heartland-1536954435,1029458,257,text/html
https://www.wsj.com/livecoverage/campaign-wire-2018-midterms/card/1537906547?mod=article_inline%3Fmod%3Dhp_featst_pos2,404530,259,text/html
https://www.wsj.com/articles/william-fox-presents-restorations-and-rediscoveries-from-the-fox-film-corporation-review-1526930402,1032172,257,text/html
https://www.wsj.com/news/business/law-legal,631393,276,text/html
https://www.wsj.com/articles/the-most-dangerous-place-to-bicycle-in-america-1537867800?mod=hp_major_pos6,954096,36,text/html
https://www.wsj.com/articles/a-museum-to-spark-new-interest-1531344962,1031216,257,text/html
https://www.wsj.com/news/magazine,1042184,186,text/html
https://www.wsj.com/articles/a-momentous-wagnerian-film-1529081527,1030629,257,text/html
https://www.wsj.com/articles/oil-soars-to-four-year-high-on-supply-fears-1537871242?mod=hp_major_pos19,1036248,263,text/html
https://www.wsj.com/articles/a-symbol-of-britains-will-to-survive-1526069509,1028686,257,text/html
https://www.wsj.com/articles/precious-metals-buyers-go-online-1537473145?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1057474,291,text/html
https://www.wsj.com/news/business/health-industry,638535,284,text/html
https://www.wsj.com/articles/before-audubon-alexander-wilsons-birds-of-the-united-states-review-ornithology-takes-flight-1526936443,954788,33,text/html
https://www.wsj.com/articles/the-home-grills-that-make-every-meal-a-commitment-1537886505?mod=hp_major_pos24,1033074,261,text/html
https://www.wsj.com/articles/irans-rouhani-says-u-s-is-disregarding-global-norms-1537902818?mod=hp_major_pos7,1033211,259,text/html
https://www.wsj.com/articles/heavenly-bodies-fashion-and-the-catholic-imagination-review-a-gift-from-the-sartorial-gods-1525907633,1033049,257,text/html
https://www.wsj.com/news/author/7872,414815,246,text/html
https://www.wsj.com/articles/beauty-in-full-bloom-1523640681,1030025,257,text/html
https://www.wsj.com/articles/the-cyberthreats-that-most-worry-election-officials-1537322820?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1055704,291,text/html
https://www.wsj.com/news/life-arts/sports,1023569,290,text/html
https://www.wsj.com/news/business/hotels-casinos,634153,278,text/html
https://www.wsj.com/articles/eckhaus-latta-possessed-review-sustainability-for-sale-1534194812,1030668,257,text/html
https://www.wsj.com/articles/bill-cosby-sentenced-to-3-to-10-years-in-prison-for-sexual-assault-1537899407?mod=hp_lead_pos8,1032854,261,text/html
https://www.wsj.com/articles/black-citizenship-in-the-age-of-jim-crow-review-oppressions-long-shadow-1536610784,1034146,259,text/html
https://www.wsj.com/news/author/8600,550156,268,text/html
https://www.wsj.com/news/business/media-marketing,641107,284,text/html
https://www.wsj.com/articles/merkel-ally-loses-vote-as-lawmakers-push-back-1537890501?mod=hp_listb_pos2,1033906,260,text/html
https://www.wsj.com/articles/a-solution-to-unreadable-online-user-agreements-1537322760?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1053795,290,text/html
https://www.wsj.com/articles/portraiture-as-propaganda-1534540774,1029561,257,text/html
https://www.wsj.com/articles/metoo-becomes-a-political-ploy-1537915920?mod=hp_opin_pos1,1031217,258,text/html
https://www.wsj.com/news/world,670977,306,text/html
https://www.wsj.com/articles/trump-to-call-for-international-trade-reforms-in-u-n-speech-1537876904?mod=hp_lead_pos2,1034155,260,text/html
